,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,MonthClaimed_int,DayOfWeekClaimed_int
26,Dec,5,Tuesday,Pontiac,Urban,Monday,Jan,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3655,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,1,1
27,Dec,5,Thursday,Chevrolet,Urban,Monday,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3659,16,700,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,1
28,Jan,1,Monday,Honda,Urban,Monday,Jan,1,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3660,2,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1,1
29,Dec,4,Friday,Toyota,Urban,Monday,Jan,1,Male,Married,37,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4896,8,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
30,Jan,1,Saturday,Honda,Urban,Monday,Jan,1,Male,Single,0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,5115,5,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
31,Dec,4,Friday,Mazda,Rural,Monday,Jan,1,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5139,6,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,1
32,Dec,3,Sunday,Chevrolet,Urban,Monday,Jan,1,Female,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5182,4,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
33,Dec,4,Friday,Pontiac,Rural,Monday,Jan,1,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5256,7,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,1
34,Dec,2,Thursday,Mazda,Urban,Monday,Jan,1,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5322,4,400,2,more than 30,more than 30,none,3 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,1,1
35,Dec,5,Friday,Toyota,Urban,Monday,Jan,1,Male,Divorced,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5330,15,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
36,Jan,1,Monday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,5332,12,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,1
37,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Single,21,Policy Holder,Sport - Liability,Sport,more than 69000,0,1,12,300,1,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,1 year,3 to 4,1994,Liability,1,2
38,Nov,4,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,40,1,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,2
39,Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,69,5,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
40,Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Married,47,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,74,7,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,2
41,Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,97,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
42,Jan,1,Sunday,Chevrolet,Urban,Tuesday,Jan,1,Female,Single,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,185,2,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,2
43,Dec,5,Friday,Mazda,Urban,Tuesday,Jan,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,191,1,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,2
44,Dec,4,Monday,Mazda,Urban,Tuesday,Jan,1,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,202,2,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
45,Dec,4,Friday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Third Party,Sedan - Collision,Sedan,more than 69000,0,246,3,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
46,Dec,5,Friday,Mazda,Urban,Tuesday,Jan,1,Male,Married,29,Third Party,Sport - Collision,Sport,more than 69000,0,255,12,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,2
47,Dec,5,Saturday,Toyota,Urban,Tuesday,Jan,1,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,258,12,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
48,Dec,5,Tuesday,Honda,Urban,Tuesday,Jan,1,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,286,8,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,2
49,Jan,1,Tuesday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,289,15,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,2
50,Dec,5,Friday,Honda,Urban,Tuesday,Jan,1,Female,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,302,2,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
51,Dec,5,Friday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,310,6,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
52,Jan,1,Monday,Mazda,Urban,Tuesday,Jan,1,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,361,14,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
53,Jan,1,Tuesday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,389,15,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
54,Dec,4,Friday,Chevrolet,Urban,Tuesday,Jan,1,Female,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1519,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,2
55,Jan,1,Sunday,Mazda,Urban,Tuesday,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1858,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,2
56,Dec,5,Thursday,Toyota,Urban,Tuesday,Jan,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1913,16,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,2
57,Jan,1,Saturday,Pontiac,Urban,Tuesday,Jan,1,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1914,1,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
58,Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1950,6,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
59,Dec,3,Friday,Honda,Urban,Tuesday,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1955,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
60,Dec,5,Wednesday,Chevrolet,Urban,Tuesday,Jan,1,Male,Married,39,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1957,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
61,Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2530,11,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,2
62,Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3567,13,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
63,Jan,1,Monday,Toyota,Urban,Tuesday,Jan,1,Female,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3652,5,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
64,Dec,4,Monday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3654,3,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,2
65,Dec,5,Friday,Ford,Urban,Tuesday,Jan,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,3656,2,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
66,Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,3661,6,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,2
67,Dec,5,Friday,Pontiac,Urban,Tuesday,Jan,1,Female,Single,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,4732,8,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
68,Jan,1,Sunday,Chevrolet,Urban,Tuesday,Jan,1,Female,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4886,12,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1,2
69,Dec,5,Wednesday,Honda,Urban,Tuesday,Jan,1,Female,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5030,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
70,Dec,5,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,5072,4,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,2
71,Dec,3,Sunday,Pontiac,Urban,Tuesday,Jan,1,Female,Married,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,5183,1,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,2
72,Jan,1,Sunday,Mazda,Urban,Tuesday,Jan,1,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5252,7,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,2
73,Jan,1,Monday,Pontiac,Urban,Tuesday,Jan,1,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5318,14,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
74,Dec,5,Thursday,Mazda,Urban,Tuesday,Jan,1,Male,Married,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,5351,5,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,2
75,Jan,1,Monday,Toyota,Urban,Tuesday,Jan,1,Male,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5354,3,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,2
76,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,70,12,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,1,3
77,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,71,16,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,3
78,Dec,4,Monday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,115,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,3
79,Jan,1,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,186,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1,3
80,Dec,4,Thursday,Pontiac,Rural,Wednesday,Jan,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,229,1,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,3
81,Dec,5,Saturday,VW,Urban,Wednesday,Jan,1,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,257,5,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,3
82,Dec,5,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,298,1,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,1,3
83,Jan,1,Saturday,Honda,Urban,Wednesday,Jan,1,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,318,16,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,1,3
84,Jan,1,Monday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,367,8,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,under 6 months,1 vehicle,1994,All Perils,1,3
85,Dec,5,Friday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,865,2,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,1,3
86,Jan,1,Tuesday,Honda,Urban,Wednesday,Jan,1,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1253,5,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,3
87,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Female,Married,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1438,10,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1,3
88,Jan,1,Tuesday,Nisson,Urban,Wednesday,Jan,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1613,6,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,3
89,Nov,4,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1791,14,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1,3
90,Dec,5,Friday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,30,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1857,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1,3
91,Dec,4,Thursday,Accura,Urban,Wednesday,Jan,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2655,8,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,1,3
92,Dec,1,Saturday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,55,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,3155,4,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,1,3
93,Jan,1,Tuesday,Mazda,Urban,Wednesday,Jan,1,Female,Married,43,Third Party,Sedan - Collision,Sedan,more than 69000,0,3566,5,700,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1,3
94,Dec,4,Thursday,Chevrolet,Urban,Wednesday,Jan,1,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3646,5,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1,3
95,Dec,5,Thursday,Honda,Urban,Wednesday,Jan,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,3658,16,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,1,3
96,Jan,1,Tuesday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,3678,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1,3
97,Dec,4,Tuesday,Honda,Urban,Wednesday,Jan,1,Male,Married,28,Third Party,Sport - Collision,Sport,more than 69000,0,4833,9,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,1,3
98,Jan,1,Tuesday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4859,8,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,3
99,Jan,1,Wednesday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5225,4,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,1,3
