features,all_NAs,no_of_NAs,no_of_times_root,tree_0,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11
Days_Policy_Accident,False,8,0,NA,NA,",10",NA,",7,8",",6",",7,8",NA,NA,NA,NA,NA
Days_Policy_Claim,False,9,0,NA,",8",NA,NA,NA,NA,NA,",9",NA,NA,NA,",1"
PastNumberOfClaims,False,0,0,",10,8,9",",8,10,6",",8,10,9,7",",6,7,4",",6,9,10,8",",9,10,7",",9,10,7",",7,10,9,6",",6,5,10,7,8,9,3",",7,6,8,5,3",",8,6,7,9,5",",8,5,2"
AgeOfVehicle,False,0,0,",10,7,6,5,9",",8,10,9,4,7",",9,10,8,7",",7,6,8,9",",7,8",",8,9,7",",8",",10,6,8,7",",7,10,4",",6,3,9,7,8,10,4",",9,7,8,6,2",",7,10"
AgeOfPolicyHolder,False,0,0,",10",",3,4",",9,10,6",",9,6,4",",7,4",",6,7,8,4",",6,10,7",",8,4,10",",9",",6",",3",",9"
PoliceReportFiled,False,8,0,",8",NA,NA,NA,NA,NA,NA,NA,",7,8",",7",",3",NA
WitnessPresent,False,8,0,NA,",10",",5",",7",",8",NA,NA,NA,NA,NA,NA,NA
AgentType,False,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,",10",NA
NumberOfSuppliments,False,0,0,",9,7,4,10,6",",9,7,8,4,10",",10,7,6,4",",8,6,5",",9,10,8,6",",5",",6,9",",10,8,9",",9,10,6,8",",10,9",",7,9,10,3,6",",10,7,4,2,8"
AddressChange_Claim,False,0,0,",4,8,2,6",",10,9,2",",10,9,2",",8,2",",7,2",",2",",2",",2",",3",",4,2,9,3",",2,4",",10,2,3"
NumberOfCars,False,2,0,",10,5,4",",4",",8,10",",10,8",",9",NA,NA,",10",",4,9,6",",5,9,4",",6",",10"
BasePolicy,False,0,4,",0",",0",",0",",0,8",",0,3",",0",",0",",0,8,10",",6,1,3",",6,1,3",",0,7,4",",0"
Year,False,7,0,NA,NA,NA,",5,7",",5",NA,NA,NA,NA,",5",",10,7",",8"
